
Steady-state run  :  SOLVIT

      LOOPCT    ;   RELXCC   ;         NRLXCC        ;   ENBALA   ;   ENBALR   ;   DAMPT  ;  VTPSEQ
          10    ; 1.240e-003 ;      100 (   results) ; 4.903e-004 ; 1.606e-005 ;   1.2408 ;    2
          12    ; 8.798e-005 ;      100 (   results) ; 2.620e-005 ; 8.584e-007 ;   1.2062 ;    1


Transient run  :  Crank-Nicholson

   ;                                  Time Variables                ;;;;               Implicit Convergence                   ;;;;               Time Discretisation Error                          ;;;
                                 % TIME    ;  TIMEN    ;    DTIMEU   ; LOOPCT ;   RELXCC   ;        NRLXCC         ;   ENBALT   ;    ERRT     ;        NERRMAX        ;   DT OPT  ;
 1 ------------------------->    8.39630 % ;  2542.400 ;   10.00000  ;      6 ; -5.764e-005 ;      300 (   results) ; 8.423e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->    8.72655 % ;  2642.400 ;   10.00000  ;      3 ; -6.313e-005 ;      300 (   results) ; 1.075e-005 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->    9.03303 % ;  2735.200 ;   10.00000  ;      3 ; -6.204e-005 ;      300 (   results) ; 1.052e-005 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->    9.36328 % ;  2835.200 ;   10.00000  ;      4 ; -4.757e-005 ;      300 (   results) ; 7.886e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->    9.69353 % ;  2935.200 ;   10.00000  ;      4 ; -6.512e-005 ;      300 (   results) ; 1.060e-005 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   10.00000 % ;  3028.000 ;    6.40000  ;      3 ; -7.838e-005 ;      300 (   results) ; 1.263e-005 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   10.33025 % ;  3128.000 ;   10.00000  ;      7 ; -7.095e-005 ;      300 (   results) ; 9.966e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   10.66050 % ;  3228.000 ;   10.00000  ;      5 ; -8.905e-005 ;      900 (   results) ; 1.239e-005 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   10.97886 % ;  3324.400 ;    6.40000  ;      5 ; -6.019e-005 ;      900 (   results) ; 7.947e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   11.29723 % ;  3420.800 ;   10.00000  ;      3 ; -4.609e-005 ;      300 (   results) ; 7.748e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   11.62748 % ;  3520.800 ;   10.00000  ;      5 ; -7.271e-005 ;      900 (   results) ; 9.340e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   11.95773 % ;  3620.800 ;   10.00000  ;      7 ; -6.987e-005 ;      400 (   results) ; 1.075e-005 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   12.26420 % ;  3713.600 ;   10.00000  ;      8 ; -3.179e-005 ;      400 (   results) ; 5.025e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   12.59445 % ;  3813.600 ;   10.00000  ;      3 ; -9.334e-005 ;      900 (   results) ; 1.427e-005 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   12.92470 % ;  3913.600 ;   10.00000  ;      3 ; -7.455e-005 ;      900 (   results) ; 1.162e-005 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   13.23118 % ;  4006.400 ;   10.00000  ;      3 ; -4.861e-005 ;      900 (   results) ; 7.858e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   13.56143 % ;  4106.400 ;   10.00000  ;      3 ; -3.038e-005 ;      900 (   results) ; 5.115e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   13.89168 % ;  4206.400 ;   10.00000  ;      6 ; -5.201e-005 ;      400 (   results) ; 8.383e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   14.19815 % ;  4299.200 ;   10.00000  ;      8 ; -3.759e-005 ;      400 (   results) ; 6.205e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   14.52840 % ;  4399.200 ;   10.00000  ;      3 ; -8.878e-006 ;      100 (   results) ; 1.626e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   14.85865 % ;  4499.200 ;   10.00000  ;      3 ; -1.454e-005 ;      100 (   results) ; 2.511e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   15.16513 % ;  4592.000 ;   10.00000  ;      3 ; -2.336e-005 ;      100 (   results) ; 3.808e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   15.49538 % ;  4692.000 ;   10.00000  ;      3 ; -3.898e-005 ;      100 (   results) ; 5.983e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   15.82563 % ;  4792.000 ;   10.00000  ;      3 ; -5.762e-005 ;      100 (   results) ; 7.901e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   16.13210 % ;  4884.800 ;   10.00000  ;      9 ; 8.038e-005 ;      100 (   results) ; 6.982e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   16.46235 % ;  4984.800 ;   10.00000  ;      3 ; -1.651e-005 ;      200 (   results) ; 1.552e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   16.79260 % ;  5084.800 ;   10.00000  ;      3 ; -1.490e-005 ;      200 (   results) ; 1.751e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   17.09908 % ;  5177.600 ;   10.00000  ;      3 ; -1.210e-005 ;      100 (   results) ; 1.757e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   17.42933 % ;  5277.600 ;   10.00000  ;      3 ; -1.553e-005 ;      100 (   results) ; 1.939e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   17.75958 % ;  5377.600 ;   10.00000  ;      3 ; -2.458e-005 ;      100 (   results) ; 2.811e-006 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   18.06605 % ;  5470.400 ;   10.00000  ;      1 ; -4.622e-006 ;      100 (   results) ; 1.694e-007 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   18.39630 % ;  5570.400 ;   10.00000  ;      1 ; -5.400e-008 ;      100 (   results) ; 2.869e-009 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   18.72655 % ;  5670.400 ;   10.00000  ;      1 ; 5.245e-009 ;      100 (   results) ; 2.763e-010 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   19.03303 % ;  5763.200 ;   10.00000  ;      1 ; 2.949e-010 ;      100 (   results) ; 1.553e-011 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   19.36328 % ;  5863.200 ;   10.00000  ;      1 ; 6.713e-012 ;      100 (   results) ; 3.543e-013 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   19.69353 % ;  5963.200 ;   10.00000  ;      1 ; -4.759e-013 ;      100 (   results) ; 2.179e-014 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   20.00000 % ;  6056.000 ;    6.40000  ;      1 ; -4.769e-014 ;      600 (   results) ; 3.834e-015 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   20.33025 % ;  6156.000 ;   10.00000  ;      1 ; -1.208e-014 ;      900 (   results) ; 8.856e-016 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   20.66050 % ;  6256.000 ;   10.00000  ;      1 ; -1.208e-014 ;      900 (   results) ; 8.856e-016 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   20.97886 % ;  6352.400 ;    6.40000  ;      1 ; -1.208e-014 ;      900 (   results) ; 8.856e-016 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   21.29723 % ;  6448.800 ;   10.00000  ;      1 ; -1.208e-014 ;      900 (   results) ; 8.856e-016 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   21.62748 % ;  6548.800 ;   10.00000  ;      1 ; -1.208e-014 ;      900 (   results) ; 8.856e-016 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   21.95773 % ;  6648.800 ;   10.00000  ;      1 ; -1.208e-014 ;      900 (   results) ; 8.856e-016 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   22.26420 % ;  6741.600 ;   10.00000  ;      1 ; -1.208e-014 ;      900 (   results) ; 8.856e-016 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
 1 ------------------------->   22.59445 % ;  6841.600 ;   10.00000  ;      1 ; -1.208e-014 ;      900 (   results) ; 8.856e-016 ;  0.000e+000 ;      100 (   results) ;     1.#IO 
